commune,province,region
Azilal,Azilal,Béni Mellal-Khénifra
Demnate,Azilal,Béni Mellal-Khénifra
Bzou,Azilal,Béni Mellal-Khénifra
Foum Jemaa,Azilal,Béni Mellal-Khénifra
Afourar,Azilal,Béni Mellal-Khénifra
Ouaouizeght,Azilal,Béni Mellal-Khénifra
Anzou,Azilal,Béni Mellal-Khénifra
Ait M'Hamed,Azilal,Béni Mellal-Khénifra
Ait Abbas,Azilal,Béni Mellal-Khénifra
Tabant,Azilal,Béni Mellal-Khénifra
Ait Bou Oulli,Azilal,Béni Mellal-Khénifra
Agoudi N'Lkhair,Azilal,Béni Mellal-Khénifra
Tamda Noumercid,Azilal,Béni Mellal-Khénifra
Zaouiat Ahansal,Azilal,Béni Mellal-Khénifra
Tisqi,Azilal,Béni Mellal-Khénifra
Taounza,Azilal,Béni Mellal-Khénifra
Moulay Aissa Ben Driss,Azilal,Béni Mellal-Khénifra
Bni Ayat,Azilal,Béni Mellal-Khénifra
Rfala,Azilal,Béni Mellal-Khénifra
Bni Hassane,Azilal,Béni Mellal-Khénifra
Tabia,Azilal,Béni Mellal-Khénifra
Ait Taguella,Azilal,Béni Mellal-Khénifra
Tanant,Azilal,Béni Mellal-Khénifra
Ait Blal,Azilal,Béni Mellal-Khénifra
Ouaoula,Azilal,Béni Mellal-Khénifra
Ait Majden,Azilal,Béni Mellal-Khénifra
Sidi Boulkhalf,Azilal,Béni Mellal-Khénifra
Tifni,Azilal,Béni Mellal-Khénifra
Imlil,Azilal,Béni Mellal-Khénifra
Ait Oumdis,Azilal,Béni Mellal-Khénifra
Ait Tamlil,Azilal,Béni Mellal-Khénifra
Tidili Fetouaka,Azilal,Béni Mellal-Khénifra
Sidi Yacoub,Azilal,Béni Mellal-Khénifra
Timoulilt,Azilal,Béni Mellal-Khénifra
Bin El Ouidane,Azilal,Béni Mellal-Khénifra
Isseksi,Azilal,Béni Mellal-Khénifra
Ait Ouaarda,Azilal,Béni Mellal-Khénifra
Tiffert N'Ait Hamza,Azilal,Béni Mellal-Khénifra
Ait Ouqabli,Azilal,Béni Mellal-Khénifra
Tagleft,Azilal,Béni Mellal-Khénifra
Tabaroucht,Azilal,Béni Mellal-Khénifra
Ait Mazigh,Azilal,Béni Mellal-Khénifra
Tilougguite,Azilal,Béni Mellal-Khénifra
Béni Mellal,Béni Mellal,Béni Mellal-Khénifra
Kasba Tadla,Béni Mellal,Béni Mellal-Khénifra
Zaouiat Cheikh,Béni Mellal,Béni Mellal-Khénifra
El Ksiba,Béni Mellal,Béni Mellal-Khénifra
